// /***************************************************************************
//  *   FreeMedicalForms                                                      *
//  *   (C) 2008-2010 by Eric MAEKER, MD                                      *
//  *   eric.maeker@free.fr                                                   *
//  *   All rights reserved.                                                  *
//  ***************************************************************************/
// /***************************************************************************
//  *   Owner :  Eric MAEKER, MD <eric.maeker@gmail.com>                      *
//  ***************************************************************************/
// /***************************************************************************
//  * - Autogenerated file for the Portuguese drugs database                  *
//  *    This file presents all known drugs and their                         *
//  *    FreeDiams autogenerated UID                                          *
//  *    !!!! The content MUST NOT be changed by hand !!!!                    *
//  ***************************************************************************/
// 
3z 150 mg, pó para suspensão oral//Pó para suspensão oral//150 mg;20111220
3z 200 mg, pó para suspensão oral//Pó para suspensão oral//200 mg;20111221
3z 250 mg, pó para suspensão oral//Pó para suspensão oral//250 mg;20111222
3z 500 mg, pó para suspensão oral//Pó para suspensão oral//500 mg;20111223
A-A-S 150//Comprimido//150 mg;20123858
A-A-S 150//Comprimido//150 mg + 30 mg;20123882
A-A-S//Comprimido//500 mg;20123857
A-Vite//Cápsula//50000 U.I.;20121170
A.G.Antigripe//Comprimido revestido//200 mg + 150 mg + 30 mg;20131789
ARA-cell//Solução injectável//20 mg/ml;20112798
ARA-cell//Solução para perfusão//50 mg/ml;20112799
ASP//Comprimido//100 mg;20123859
ASP//Comprimido//200 mg;20131766
ASS 500 Ratiopharm//Comprimido//500 mg;20131767
ATG-Fresenius//Concentrado para solução para perfusão//20 mg/ml;20116247
ATenativ//Pó e solvente para solução injectável//1000 U.I./20 ml;20110914
ATenativ//Pó e solvente para solução injectável//1500 U.I./30 ml;20110915
ATenativ//Pó e solvente para solução injectável//500 U.I./10 ml;20110916
ATryn//Pó para solução para perfusão//1750 U.I.;20110917
Abavil//Comprimido revestido por película//150 mg;20116539
Abavil//Comprimido revestido por película//300 mg;20116540
Abavil//Comprimido revestido por película//75 mg;20116541
Abbokinase//Pó para solução injectável//250000 U.I.;20131563
Abelcet//Suspensão injectável//5 mg/ml;20110906
Abilify//Comprimido orodispersível//10 mg;20110938
Abilify//Comprimido orodispersível//15 mg;20110939
Abilify//Comprimido orodispersível//30 mg;20110940
Abilify//Comprimido orodispersível//5 mg;20110941
Abilify//Comprimido//10 mg;20110934
Abilify//Comprimido//15 mg;20110935
Abilify//Comprimido//30 mg;20110936
Abilify//Comprimido//5 mg;20110937
Abilify//Solução injectável//7.5 mg/ml;20110942
Abilify//Solução oral//1 mg/ml;20110943
Abolibe Forte//Solução oral//40 mg/ml;20115700
Abraxane//Pó para suspensão para perfusão//5 mg/ml;20119681
Abseamed//Solução injectável//1000 U.I./0.5 ml;20114194
Abseamed//Solução injectável//10000 U.I./1 ml;20114195
Abseamed//Solução injectável//2000 U.I./1 ml;20114196
Abseamed//Solução injectável//3000 U.I./0.3 ml;20114197
Abseamed//Solução injectável//4000 U.I./0.4 ml;20114198
Abseamed//Solução injectável//5000 U.I./0.5 ml;20114199
Abseamed//Solução injectável//6000 U.I./0.6 ml;20114200
Abseamed//Solução injectável//7000 U.I./0.7 ml;20114201
